paperId,group,status,ECCV title,arXiv title,arXiv URL,author matches,ECCV author count,title similarity,abstract characters,ECCV authors,arXiv authors
eccv-2026-3304,random,clear,Token-Based Affordance Grounding with Large Vision-Language Models,Token-Based Affordance Grounding with Large Vision-Language Models,https://arxiv.org/abs/2607.03595v1,7,7,1.0,1809,Seung Il Lee; Qinqian Lei; Daguang Xu; Dong Yang; Robby T. Tan; Yixin Chen; Bo Wang,Seung Il Lee; Qinqian Lei; Daguang Xu; Dong Yang; Robby T. Tan; Yixin Chen; Bo Wang
eccv-2026-4357,random,no_results,Mitigate Modality-Asymmetric Forgetting via Stabilizing Visual Representations in CLIP-Based Class-Incremental Learning,,,,10,,0,Yuanhong Zhang; Yanan Chen; Xin Zhang; Zhaoyang Wang; Weizhan Zhang; Muyao Yuan; Hongjin Niu; LAN MA; Yuan Gao; Joey Tianyi Zhou,
eccv-2026-3984,random,clear,Revisiting Autoregressive Models for Generative Image Classification,Revisiting Autoregressive Models for Generative Image Classification,https://arxiv.org/abs/2603.19122v2,3,3,1.0,1103,Ilia Sudakov; Artem Babenko; Dmitry Baranchuk,Ilia Sudakov; Artem Babenko; Dmitry Baranchuk
eccv-2026-3656,random,clear,Learning Transferable Dynamics Priors from Action to World Modeling,Learning Transferable Dynamics Priors from Action to World Modeling,https://arxiv.org/abs/2606.29501v1,6,6,1.0,1211,Ze Huang; Zhang Jiahui; Hairuo Liu; Chenxi Zhang; Ran Cheng; Li Zhang,Ze Huang; Jiahui Zhang; Hairuo Liu; Chenxi Zhang; Ran Cheng; Li Zhang
eccv-2026-3369,random,no_results,SSBP: Stage-Specialized Block Pruning for Video Diffusion Models,,,,5,,0,Mengmeng Ge; Takashi Isobe; Dong Zhou; Dong Li; Emad Barsoum,
eccv-2026-5446,random,clear,Puppet-CNN: Continuous Parameter Dynamics for Input-Adaptive Convolutional Networks,Puppet-CNN: Continuous Parameter Dynamics for Input-Adaptive Convolutional Networks,https://arxiv.org/abs/2411.12876v2,2,2,1.0,1257,Yucheng Xing; Xin Wang,Yucheng Xing; Xin Wang
eccv-2026-4055,random,clear,Perceiving Better Moments: Cover Frame Reselection and Enhancement for Live Photos with the Live2K Dataset,Perceiving Better Moments: Cover Frame Reselection and Enhancement for Live Photos with the Live2K Dataset,https://arxiv.org/abs/2607.04151v1,6,6,1.0,1570,Junyu Lou; Kai Chen; Weiyi You; Hui Zeng; Lei Zhang; Shuhang Gu,Junyu Lou; Kai Chen; Weiyi You; Hui Zeng; Lei Zhang; Shuhang Gu
eccv-2026-3295,random,clear,Disentangling Pictorial Cue Understanding from Language Bias in VLMs via Depth Ordering Task,Disentangling Pictorial Cue Understanding from Language Bias in VLMs via Depth Ordering Task,https://arxiv.org/abs/2607.01503v2,3,3,1.0,1529,Yiqian Liu; Iuliia Kotseruba; John K. Tsotsos,Yiqian Liu; Iuliia Kotseruba; John K. Tsotsos
eccv-2026-5925,random,no_results,VIGA: View-Conditioned and Identity-Guided Adaptation for Aerial-Ground Person Re-Identification,,,,3,,0,XU ZHANG; Feng Yining; ZUYU ZHANG,
eccv-2026-3160,random,no_results,AnyGround3D: Towards Grounding Any 3D Object in the Wild via 2D-to-3D Lifting,,,,2,,0,Yingping Liang; Wenxuan Guo,
eccv-2026-4029,random,clear,MobileManiBench: Simplifying Model Verification for Mobile Manipulation,MobileManiBench: Simplifying Model Verification for Mobile Manipulation,https://arxiv.org/abs/2602.05233v2,8,8,1.0,1307,Wenbo Wang; Fangyun Wei; Qixiu Li; Xi Chen; Yaobo Liang; Chang Xu; Jiaolong Yang; Baining Guo,Wenbo Wang; Fangyun Wei; QiXiu Li; Xi Chen; Yaobo Liang; Chang Xu; Jiaolong Yang; Baining Guo
eccv-2026-5555,random,clear,ARMS: Anchor–Relational Motion Streaming for Seamless Solo-Social Motion Transitions,ARMS: Anchor-Relational Motion Streaming for Seamless Solo-Social Motion Transitions,https://arxiv.org/abs/2607.05733v1,5,5,1.0,1451,Huakun Liu; Qing Yu; Kent Fujiwara; Hideaki Uchiyama; Kiyoshi Kiyokawa,Huakun Liu; Qing Yu; Kent Fujiwara; Hideaki Uchiyama; Kiyoshi Kiyokawa
eccv-2026-5952,random,clear,Linguistically-Aligned and Visually-Grounded Preference Optimization for Clinically-Augmented Medical Report Generation,Linguistically-Aligned and Visually-Grounded Preference Optimization for Clinically-Augmented Medical Report Generation,https://arxiv.org/abs/2608.08494v2,7,7,1.0,1884,Qiang Hu; Yuxuan Luo; Yingjie Guo; Hao Wang; Qimei Wang; Qiang Li; Zhiwei Wang,Qiang Hu; Yuxuan Luo; Yingjie Guo; Hao Wang; Qimei Wang; Qiang Li; Zhiwei Wang
eccv-2026-5519,random,review,PhyMAGIC: Physical Motion-Aware Generative Inference with Confidence-guided VLM,PhyMAGIC: Physical Motion-Aware Generative Inference with Confidence-guided LLM,https://arxiv.org/abs/2505.16456v3,3,3,0.9872,1220,Siwei Meng; Yawei Luo; Ping Liu,Siwei Meng; Yawei Luo; Ping Liu
eccv-2026-3810,random,clear,Entropy-Controlled Flow Matching,Entropy-Controlled Flow Matching,https://arxiv.org/abs/2602.22265v3,1,1,1.0,1077,Chika Maduabuchi,Chika Maduabuchi
eccv-2026-4003,random,clear,TinyHistory: Lightweight Video History Embeddings via Two-Stage Context Learning,TinyHistory: Lightweight Video History Embeddings via Two-Stage Context Learning,https://arxiv.org/abs/2512.23851v6,9,9,1.0,1204,lvmin zhang; Shengqu Cai; Muyang Li; Chong Zeng; Beijia Lu; Anyi Rao; Song Han; Gordon Wetzstein; Maneesh Agrawala,Lvmin Zhang; Shengqu Cai; Muyang Li; Chong Zeng; Beijia Lu; Anyi Rao; Song Han; Gordon Wetzstein; Maneesh Agrawala
eccv-2026-5764,random,no_results,Isotropic Embedding Perturbations for Robust Vision Language Encoders,,,,8,,0,Hyesong Choi; Daeun Kim; Song Park; Taekyung Kim; Byeongho Heo; Sangdoo Yun; Dongbo Min; Dongyoon Han,
eccv-2026-4492,random,clear,From Passive Observer to Active Critic: Reinforcement Learning Elicits Process Reasoning for Robotic Manipulation,From Passive Observer to Active Critic: Reinforcement Learning Elicits Process Reasoning for Robotic Manipulation,https://arxiv.org/abs/2603.15600v2,8,9,1.0,1444,Yibin Liu; Yaxing Lyu; Daqi Gao; Zhixuan Liang; Weiliang Tang; Shilong Mu; Xiaokang Yang; Mingyu Ding; Yao Mu,Yibin Liu; Yaxing Lyu; Daqi Gao; Zhixuan Liang; Weiliang Tang; Shilong Mu; Xiaokang Yang; Yao Mu
eccv-2026-5845,random,no_results,CogniCred: A Dataset and Benchmark for Cognitive Credential Forgery Detection,,,,10,,0,Junchi Li; Jiasheng Sun; Weizhi Chen; Ziwei Wang; Sheng Zhou; Jiajun Bu; Chenfan Qu; Bohan Yu; Jian liu; Weiqiang Wang,
eccv-2026-5507,random,clear,Human-like Object Grouping in Self-supervised Vision Transformers,Human-like Object Grouping in Self-supervised Vision Transformers,https://arxiv.org/abs/2603.13994v3,6,6,1.0,1651,Hossein Adeli; Seoyoung Ahn; Andrew Luo; Mengmi Zhang; Nikolaus Kriegeskorte; Gregory Zelinsky,Hossein Adeli; Seoyoung Ahn; Andrew Luo; Mengmi Zhang; Nikolaus Kriegeskorte; Gregory Zelinsky
eccv-2026-3310,random,clear,Panoramic Affordance Prediction,Panoramic Affordance Prediction,https://arxiv.org/abs/2603.15558v1,12,13,1.0,1604,Zixin Zhang; Chenfei Liao; Hongfei Zhang; Harold Haodong Chen; Kanghao Chen; Zichen Wen; Litao Guo; Bin Ren; Xu Zheng; Yinchuan Li; Xuming Hu; Nicu Sebe; Yingcong Chen,Zixin Zhang; Chenfei Liao; Hongfei Zhang; Harold Haodong Chen; Kanghao Chen; Zichen Wen; Litao Guo; Bin Ren; Xu Zheng; Yinchuan Li; Xuming Hu; Nicu Sebe; Ying-Cong Chen
eccv-2026-3534,random,clear,"Surprise Forcing: What to Remember, When to Skip in Long Video Generation","Surprise Forcing: What to Remember, When to Skip in Long Video Generation",https://arxiv.org/abs/2607.18436v1,7,7,1.0,1345,SHUWEI SHI; Zhen Li; Muyao Niu; Chuanhao Li; Bo Zheng; Kaipeng Zhang; zheng yinqiang,Shuwei Shi; Zhen Li; Muyao Niu; Chuanhao Li; Bo Zheng; Kaipeng Zhang; Yinqiang Zheng
eccv-2026-4757,random,clear,Illuminating Unified Multimodal Model for Free-form Interleaved Text-Image Generation,Illuminating Unified Multimodal Model for Free-form Interleaved Text-Image Generation,https://arxiv.org/abs/2606.30054v1,12,12,1.0,1114,Chonghuinan Wang; Zhikai Chen; Chunwei Wang; Yecong Wan; Junwei Yang; Zhixin Wang; Wei Zhang; Jiaqi Xu; Renjing Pei; Xiaohe Wu; FAN LI; Wangmeng Zuo,Chonghuinan Wang; Zhikai Chen; Chunwei Wang; Yecong Wan; Junwei Yang; Zhixin Wang; Wei Zhang; Jiaqi Xu; Renjing Pei; Xiaohe Wu; Fan Li; Wangmeng Zuo
eccv-2026-5697,random,no_results,Wavelet-based Intra-video Counterfactual Reasoning for Video Question Grounding,,,,2,,0,Jiasheng Yuan; Wei Wei,
eccv-2026-3335,random,clear,ProLaViT: Learning Progressive Latent Visual Thoughts in Structured Latent Space,ProLaViT: Learning Progressive Latent Visual Thoughts in Structured Latent Space,https://arxiv.org/abs/2607.02907v1,7,7,1.0,1465,Peiming Li; Yifan Wang; Xiaotian Zhang; Zhiyuan Hu; Shiyu Li; Zheng Wei; Yang Tang,Peiming Li; Yifan Wang; Xiaotian Zhang; Zhiyuan Hu; Shiyu Li; Zheng Wei; Yang Tang
eccv-2026-5862,random,clear,Learning to Attract and Repel: Dual Quality Margin Learning for Face Recognition (DQM-Face),Learning to Attract and Repel: Dual Quality Margin Learning for Face Recognition (DQM-Face),https://arxiv.org/abs/2609.02644v1,3,3,1.0,1783,El Ouanas Belabbaci; Bhavesh Wani; Philipp Terhörst,El Ouanas Belabbaci; Bhavesh Wani; Philipp Terhörst
eccv-2026-4332,random,no_results,XPos3R: Cross-Modal Transformer for Intraoperative 2D/3D Registration,,,,5,,0,Shiyan Su; Ruyi Zha; HONGDONG LI; Xuelian Cheng; Zongyuan Ge,
eccv-2026-3641,random,no_results,PhysFlowNet: Learning Canonical Latent Manifolds via Spatio-Spectral Physics Priors for Underwater Object Detection,,,,8,,0,XUETING Liu; Haoyu Ji; Wenze Huang; Zhihao Yang; Yu Gao; Weihong Ren; Zhiyong Wang; Honghai Liu,
eccv-2026-4865,random,clear,DreamEdit3D: Personalization of Multi-View Diffusion Models for 3D Editing,DreamEdit3D: Personalization of Multi-View Diffusion Models for 3D Editing,https://arxiv.org/abs/2605.16990v1,3,3,1.0,1215,Jinxin Ai; Matthias Niessner; Ziya Erkoç,Jinxin Ai; Matthias Nießner; Ziya Erkoç
eccv-2026-5546,random,clear,Provable and Robust Wavefront Sensing via Self-Reference Interferometry,Provable and Robust Wavefront Sensing via Self-Reference Interferometry,https://arxiv.org/abs/2604.03564v1,4,4,1.0,1453,Nebiyou Yismaw; Vishwanath Saragadam; Aswin C. Sankaranarayanan; M. Salman Asif,Nebiyou Yismaw; Vishwanath Saragadam; Aswin C. Sankaranarayanan; M. Salman Asif
eccv-2026-3262,random,clear,Generation Models Know Space: Unleashing Implicit 3D Priors for Scene Understanding,Generation Models Know Space: Unleashing Implicit 3D Priors for Scene Understanding,https://arxiv.org/abs/2603.19235v3,8,8,1.0,1376,Xianjin Wu; Dingkang Liang; Tianrui Feng; Kui Xia; Yumeng Zhang; Xiaofan Li; Xiao Tan; Xiang Bai,Xianjin Wu; Dingkang Liang; Tianrui Feng; Kui Xia; Yumeng Zhang; Xiaofan Li; Xiao Tan; Xiang Bai
eccv-2026-5453,random,clear,EoS-FM: Can an Ensemble of Specialist Models act as a Generalist Feature Extractor?,EoS-FM: Can an Ensemble of Specialist Models act as a Generalist Feature Extractor?,https://arxiv.org/abs/2511.21523v3,4,4,1.0,1501,Pierre Adorni; Minh-Tan Pham; Stephane May; Sébastien Lefèvre,Pierre Adorni; Minh-Tan Pham; Stéphane May; Sébastien Lefèvre
eccv-2026-3290,random,clear,OmniFit: Multi-modal 3D Body Fitting via Scale-agnostic Dense Landmark Prediction,OmniFit: Multi-modal 3D Body Fitting via Scale-agnostic Dense Landmark Prediction,https://arxiv.org/abs/2604.21575v1,11,11,1.0,1306,Zeyu CAI; Yuliang Xiu; renke wang; Zhijing Shao; Xiaoben Li; YU Siyuan; Chao Xu; Yang Liu; Baigui Sun; Jian Yang; zhenyu zhang,Zeyu Cai; Yuliang Xiu; Renke Wang; Zhijing Shao; Xiaoben Li; Siyuan Yu; Chao Xu; Yang Liu; Baigui Sun; Jian Yang; Zhenyu Zhang
eccv-2026-3333,random,review,The Label Imitation Game: Turing Test Network for Zero-Shot Pseudo-Label Pruning,The Label Imitation Game: Turing Test Network for Zero-Shot Pseudo-Label Pruning,https://arxiv.org/abs/2606.30875v1,0,2,1.0,1474,Brent Griffin; Jason Corso,Brent A. Griffin; Jason J. Corso
eccv-2026-5307,random,clear,Towards Practical Lossless Neural Compression for LiDAR Point Clouds,Towards Practical Lossless Neural Compression for LiDAR Point Clouds,https://arxiv.org/abs/2603.25260v2,7,7,1.0,1329,pengpeng yu; Haoran Li; Runqing Jiang; Dingquan Li; Jing Wang; Liang Lin; Yulan Guo,Pengpeng Yu; Haoran Li; Runqing Jiang; Dingquan Li; Jing Wang; Liang Lin; Yulan Guo
eccv-2026-4729,random,clear,DeCoFlow: Structural Decomposition of Normalizing Flows for Continual Anomaly Detection,DeCoFlow: Structural Decomposition of Normalizing Flows for Continual Anomaly Detection,https://arxiv.org/abs/2606.26687v3,4,4,1.0,1082,hun im; Jungi Lee; Subeen Cha; Pilsung Kang,Hun Im; Jungi Lee; Subeen Cha; Pilsung Kang
eccv-2026-3564,random,no_results,ARVAR: Accelerating Visual Autoregressive Model via Attention Retrospect,,,,6,,0,Jiedong Zhuang; Lu Lu; Ming Dai; Jian Chen; Qiang Liu; Haoji Hu,
eccv-2026-3354,random,clear,ASSCG: Just-Right Gating over Chattering for Fast–Slow LLM Planning in Autonomous Driving,ASSCG: Just-Right Gating over Chattering for Fast-Slow LLM Planning in Autonomous Driving,https://arxiv.org/abs/2606.25509v1,7,8,1.0,1265,Sining Ang; Yuan Chen; Liu Haiyan; Xuanyao Mao; jason bao; Xuliang Xuliang; Bingchuan Sun; Yan Wang,Sining Ang; Yuan Chen; Liu Haiyan; Xuanyao Mao; Jason Bao;  Xuliang; Bingchuan Sun; Yan Wang
eccv-2026-3879,random,clear,Glance: Accelerating Diffusion Models with 1 Sample,Glance: Accelerating Diffusion Models with 1 Sample,https://arxiv.org/abs/2512.02899v2,7,8,1.0,1263,Zhuobai Dong; Rui Zhao; songjie wu; Suyang Hou; Junchao Yi; Zhengyuan Yang; Lijuan Wang; Alex Jinpeng Wang,Zhuobai Dong; Rui Zhao; Songjie Wu; Junchao Yi; Linjie Li; Zhengyuan Yang; Lijuan Wang; Alex Jinpeng Wang
eccv-2026-5237,random,clear,LESV:Language Embedded Sparse Voxel Fusion for Open-Vocabulary 3D Scene Understanding,LESV: Language Embedded Sparse Voxel Fusion for Open-Vocabulary 3D Scene Understanding,https://arxiv.org/abs/2604.01388v2,5,6,1.0,1261,Fusang WANG; Nathan Piasco; Moussab Bennehar; Luis G Roldao Jimenez; Dzmitry Tsishkou; Fabien Moutarde,Fusang Wang; Nathan Piasco; Moussab Bennehar; Luis Roldão; Dzmitry Tsishkou; Fabien Moutarde
eccv-2026-3963,random,no_results,MPO: Single-Stream Policy Optimization for Efficient Text-to-Image Alignment,,,,7,,0,Lishuai Gao; Jie Hu; Cong Wei; Yujie Zhong; Yibo Zhao; Zan Gao; Xiaoming Wei,
eccv-2026-5554,random,clear,Trajectory-aware Cross-view Geo-Localization with Sequential Observations,Trajectory-aware Cross-view Geo-localization with Sequential Observations,https://arxiv.org/abs/2607.15491v1,4,4,1.0,1151,Tianyi Gao; Jiayu Lin; Danielle Beaulieu; Nathan Jacobs,Tianyi Gao; Jiayu Lin; Danielle Beaulieu; Nathan Jacobs
eccv-2026-5411,random,clear,Robust Zero-shot Anomaly Detection under Limited Auxiliary Anomaly Priors,Robust Zero-shot Anomaly Detection under Limited Auxiliary Anomaly Priors,https://arxiv.org/abs/2606.29428v1,3,3,1.0,1240,Guanyu Lu; Fang Zhou; Cheqing Jin,Guanyu Lu; Fang Zhou; Cheqing Jin
eccv-2026-3519,random,clear,ShellMaker: Language-Guided Exterior Completion under Structural Constraints,ShellMaker: Language-Guided Exterior Completion under Structural Constraints,https://arxiv.org/abs/2606.31680v1,2,2,1.0,1208,Ruiqi Xu; Daniel Aliaga,Ruiqi Xu; Daniel Aliaga
eccv-2026-4244,random,clear,Parallel Vision Token Scheduling for Fast and Accurate Multimodal LMMs Inference,Parallel Vision Token Scheduling for Fast and Accurate Multimodal LMMs Inference,https://arxiv.org/abs/2511.18875v1,4,4,1.0,1108,Wengyi Zhan; Mingbao Lin; Zhihang Lin; Rongrong Ji,Wengyi Zhan; Mingbao Lin; Zhihang Lin; Rongrong Ji
eccv-2026-4879,random,no_results,Boosting Correspondence Learning with Structure-Aware Estimator,,,,4,,0,Tianyu Yan; Wei An; Pu Wang; Yingqian Wang,
eccv-2026-5403,random,no_results,Debiased Textual Prompt Tuning for Enhancing Unknown Class Discovery,,,,5,,0,Yuxin Fan; Junbiao Cui; Changhao Liu; Xingwang Zhao; Jiye Liang,
eccv-2026-3969,random,clear,MobileVLA-R1: Reinforcing Vision-Language-Action for Mobile Robots,MobileVLA-R1: Reinforcing Vision-Language-Action for Mobile Robots,https://arxiv.org/abs/2511.17889v1,6,6,1.0,1219,Ting Huang; Dongjian Li; Rui Yang; Zeyu Zhang; ZIDA YANG; Hao Tang,Ting Huang; Dongjian Li; Rui Yang; Zeyu Zhang; Zida Yang; Hao Tang
eccv-2026-5240,random,clear,LMGenDrive: Bridging Multimodal Understanding and Generative World Modeling for End-to-End Driving,LMGenDrive: Bridging Multimodal Understanding and Generative World Modeling for End-to-End Driving,https://arxiv.org/abs/2604.08719v1,7,8,1.0,1799,Hao Shao; Letian Wang; Yang Zhou; Yuxuan Hu; Zhuofan Zong; Steven Waslander; Wei Zhan; Hongsheng LI,Hao Shao; Letian Wang; Yang Zhou; Yuxuan Hu; Zhuofan Zong; Steven L. Waslander; Wei Zhan; Hongsheng Li
eccv-2026-3405,random,clear,UniMotion: A Unified Framework for Motion-Text-Vision Understanding and Generation,UniMotion: A Unified Framework for Motion-Text-Vision Understanding and Generation,https://arxiv.org/abs/2603.22282v2,5,5,1.0,1602,Ziyi Wang; Xinshun Wang; Shuang Chen; Yang Cong; Mengyuan Liu,Ziyi Wang; Xinshun Wang; Shuang Chen; Yang Cong; Mengyuan Liu
eccv-2026-3296,random,clear,Aligning Human Sense: Calibrated Distributional Reward Learning for Video Generation,Aligning Human Sense: Calibrated Distributional Reward Learning for Video Generation,https://arxiv.org/abs/2608.21425v1,10,12,1.0,1642,Naixin Zhai; Weihua Cheng; Dexu Yu; Yikai Gu; Hanwen Du; Junchen Fu; Chenxi Huang; Yingwei Song; Liyuan Ma; Yang Ran; Youhua Li; Yongxin Ni,Nai-Xin Zhai; Weihua Cheng; Dexu Yu; Yikai Gu; Hanwen Du; Junchen Fu; Chenxi Huang; Yingwei Song; Liyuan Lillian Ma; Yang Ran; Youhua Li; Yongxin Ni
eccv-2026-4077,random,clear,DualDiff3D: Dual Structure-Appearance Diffusion Priors for Reliability-Enhanced 3D Gaussian Splatting,DualDiff3D: Dual Structure-Appearance Diffusion Priors for Reliability-Enhanced 3D Gaussian Splatting,https://arxiv.org/abs/2609.01516v1,7,7,1.0,1584,Qian Wang; Yu Wang; Weiqi Li; Xinhua Cheng; Xiandong MENG; Ronggang Wang; Jian Zhang,Qian Wang; Yu Wang; Weiqi Li; Xinhua Cheng; Xiandong Meng; Ronggang Wang; Jian Zhang
eccv-2026-4798,random,clear,Mitigating Positional Leakage in 3D Masked Autoencoders for Robust Representation Learning,Mitigating Positional Leakage in 3D Masked Autoencoders for Robust Representation Learning,https://arxiv.org/abs/2606.31570v1,5,5,1.0,1317,Xu Yan; Huiqun Wang; Chen Wang; Lei Ren; Di Huang,Xu Yan; Huiqun Wang; Chen Wang; Lei Ren; Di Huang
eccv-2026-5398,random,clear,GrowFields: Compositional 4D Neural Fields for Topology-Changing Plant Growth,GrowFields: Compositional 4D Neural Fields for Topology-Changing Plant Growth,https://arxiv.org/abs/2607.03330v2,6,6,1.0,1595,Joaquin Gajardo; Michele Volpi; Marko Mihajlovic; Siyu Tang; Lukas Roth; Sergey Prokudin,Joaquin Gajardo; Michele Volpi; Marko Mihajlovic; Siyu Tang; Lukas Roth; Sergey Prokudin
eccv-2026-4431,random,clear,Invisible Shortcuts: Why Vision Encoders Know Your Camera,Invisible Shortcuts: Why Vision Encoders Know Your Camera,https://arxiv.org/abs/2608.05424v1,5,5,1.0,1322,Vladan Stojnic; Ryan Ramos; Giorgos Kordopatis-Zilos; Noa Garcia; Giorgos Tolias,Vladan Stojnić; Ryan Ramos; Giorgos Kordopatis-Zilos; Noa Garcia; Giorgos Tolias
eccv-2026-4456,random,clear,InverseCrafter: Efficient Video ReCapture as a Latent Domain Inverse Problem,InverseCrafter: Efficient Video ReCapture as a Latent Domain Inverse Problem,https://arxiv.org/abs/2512.05672v2,4,4,1.0,1192,Yeobin Hong; Suhyeon Lee; Hyungjin Chung; Jong Chul Ye,Yeobin Hong; Suhyeon Lee; Hyungjin Chung; Jong Chul Ye
eccv-2026-5233,random,clear,SEM-ROVER: Semantic Voxel-Guided Diffusion for Large-Scale Driving Scene Generation,SEM-ROVER: Semantic Voxel-Guided Diffusion for Large-Scale Driving Scene Generation,https://arxiv.org/abs/2604.06113v1,7,8,1.0,1331,Hiba Dahmani; Nathan Piasco; Moussab Bennehar; Luis G Roldao Jimenez; Dzmitry Tsishkou; Laurent Caraffa; Jean-Philippe Tarel; Roland Brémond,Hiba Dahmani; Nathan Piasco; Moussab Bennehar; Luis Roldão; Dzmitry Tsishkou; Laurent Caraffa; Jean-Philippe Tarel; Roland Brémond
eccv-2026-4762,random,clear,BrainFIBRE: A Foundation Model via Information Decomposition for Brain Microstructure,BrainFIBRE: A Foundation Model via Information Decomposition for Brain Microstructure,https://arxiv.org/abs/2607.00573v2,4,6,1.0,1714,Zijian Dong; Yi Lin; Fang Ji; Jianxiong Zhou; Eric Kwun Kei NG; Juan Zhou,Zijian Dong; Yi Lin; Fang Ji; Jianxiong Zhou; Kwun Kei Ng; Juan Helen Zhou
eccv-2026-3285,random,no_results,Region-Aware Multimodal Interleaving for Animal Re-Identification,,,,7,,0,Yihao Wu; Di Zhao; Wayne Getz; Lingqiao Liu; Gillian Dobbie; Daniel Wilson; Yun Sing Koh,
eccv-2026-3849,random,clear,EvoTok: A Unified Image Tokenizer via Residual Latent Evolution for Visual Understanding and Generation,EvoTok: A Unified Image Tokenizer via Residual Latent Evolution for Visual Understanding and Generation,https://arxiv.org/abs/2603.12108v1,8,8,1.0,1679,Yan Li; Ning Liao; Xiangyu Zhao; Shaofeng Zhang; Xiaoxing Wang; Yifan Yang; Junchi Yan; Xue Yang,Yan Li; Ning Liao; Xiangyu Zhao; Shaofeng Zhang; Xiaoxing Wang; Yifan Yang; Junchi Yan; Xue Yang
